Sub-SN,Part Number,Station1 Measurement,Station2 Measurement,Station3 Measurement,Station4 Measurement,Station5 Measurement,Station6 Measurement,Station7 Measurement,Station8 Measurement,Station9 Measurement,Station10 Measurement
SBN00000000,PCB0003,10.628,9.404,9.809,10.365,9.244,9.357,10.18,10.334,9.77,10.279
SBN00000001,PCB0002,10.171,9.691,9.954,9.779,9.609,9.372,9.306,9.93,9.846,9.764
SBN00000002,PCB0002,10.069,9.994,10.084,10.172,9.677,9.734,9.192,10.229,9.701,9.69
SBN00000003,PCB0003,9.559,10.8,10.025,10.16,10.233,9.675,10.528,9.807,9.959,9.453
SBN00000004,PCB0003,9.049,9.408,9.877,9.84,10.034,9.137,9.53,10.135,10.028,10.562
SBN00000005,PCB0001,10.036,9.242,9.992,10.063,10.305,10.346,9.138,9.713,9.85,9.49
SBN00000006,PCB0002,10.088,10.851,9.437,10.429,9.996,9.744,10.385,10.173,9.29,9.131
SBN00000007,PCB0003,10.151,10.788,11.326,9.669,10.188,9.555,9.3,9.612,9.594,9.666
SBN00000008,PCB0003,9.658,9.75,9.382,9.885,10.22,9.764,10.113,9.735,10.401,10.16
SBN00000009,PCB0003,10.669,9.753,9.499,9.548,9.181,9.905,9.782,8.934,10.099,9.637
SBN00000010,PCB0002,10.592,10.656,9.819,9.525,10.528,10.686,10.641,9.552,9.212,9.648
SBN00000011,PCB0001,9.755,10.731,10.118,10.044,9.624,10.019,9.747,10.237,11.008,9.455
SBN00000012,PCB0003,10.237,10.673,9.26,10.807,8.971,10.638,10.312,9.394,9.608,9.384
SBN00000013,PCB0002,10.99,9.489,10.175,9.956,10.471,9.542,8.925,10.192,10.785,10.527
SBN00000014,PCB0002,9.376,10.627,9.164,9.751,10.18,10.896,10.368,9.56,11.683,9.914
SBN00000015,PCB0001,10.362,10.082,10.354,14.168,9.884,10.423,9.765,10.001,9.373,10.655
SBN00000016,PCB0001,10.187,9.645,9.54,9.649,11.238,9.404,10.203,10.03,9.965,9.988
SBN00000017,PCB0001,10.251,10.777,10.179,10.071,9.754,9.731,10.413,9.27,9.746,10.04
SBN00000018,PCB0002,9.929,10.825,10.086,9.796,10.094,9.316,10.356,9.344,10.8,9.807
SBN00000019,PCB0002,10.271,10.214,9.611,10.098,9.135,9.639,9.466,9.973,9.684,10.38
SBN00000020,PCB0003,10.11,9.68,10.291,15.512,10.236,10.304,9.237,9.68,9.915,9.278
SBN00000021,PCB0001,10.367,8.862,10.326,10.346,9.927,10.836,9.869,10.076,9.899,9.856
SBN00000022,PCB0003,10.43,9.81,9.954,9.712,10.307,10.523,9.572,9.586,10.3,9.452
SBN00000023,PCB0002,10.128,10.181,9.779,10.097,10.406,9.26,10.879,10.316,10.303,11.064
SBN00000024,PCB0002,9.745,9.452,9.534,10.354,10.767,9.641,9.756,8.478,9.923,9.509
SBN00000025,PCB0003,9.95,10.35,9.828,10.315,10.834,9.956,10.729,9.54,10.469,9.719
SBN00000026,PCB0003,9.592,10.149,10.317,9.365,10.204,9.292,9.728,10.275,9.363,9.384
SBN00000027,PCB0003,9.9,10.563,10.977,10.239,9.902,11.092,9.736,10.665,9.978,9.929
SBN00000028,PCB0002,9.787,10.284,9.862,9.275,9.168,10.113,9.137,9.663,9.253,9.179
SBN00000029,PCB0001,10.182,11.029,10.212,9.66,9.542,9.876,9.728,9.529,9.84,9.733
SBN00000030,PCB0003,10.173,9.796,10.207,14.999,9.23,9.777,9.673,10.161,9.515,9.873
SBN00000031,PCB0001,9.924,9.942,9.306,10.614,10.918,9.512,10.646,9.594,9.638,10.525
SBN00000032,PCB0002,9.377,9.394,10.416,14.911,10.532,10.0,9.929,9.963,9.496,9.812
SBN00000033,PCB0003,11.047,10.606,10.456,10.275,10.262,10.597,10.174,10.267,10.581,10.788
SBN00000034,PCB0002,10.032,9.915,10.182,9.921,10.096,9.311,10.249,9.415,9.589,9.972
SBN00000035,PCB0003,10.024,10.156,9.802,10.95,10.325,10.426,9.93,10.419,9.208,10.152
SBN00000036,PCB0003,10.53,10.532,10.337,8.867,9.749,9.286,11.049,10.368,11.35,9.443
SBN00000037,PCB0001,9.331,10.005,10.189,10.001,9.965,9.267,10.622,9.731,9.801,10.334
SBN00000038,PCB0002,9.451,10.479,10.504,14.252,9.675,9.238,10.451,10.409,10.593,10.335
SBN00000039,PCB0003,9.96,10.147,10.402,10.14,10.424,10.802,10.675,9.339,9.816,9.848
SBN00000040,PCB0003,9.997,9.677,9.946,11.043,9.842,10.061,9.719,10.089,9.156,9.948
SBN00000041,PCB0002,9.933,9.549,9.398,9.676,9.599,9.497,9.223,9.961,10.08,9.732
SBN00000042,PCB0002,9.718,11.265,10.945,10.035,9.099,9.656,9.974,9.714,9.864,10.239
SBN00000043,PCB0002,10.113,10.517,10.364,9.217,10.012,9.355,9.345,10.534,9.91,9.053
SBN00000044,PCB0002,10.013,10.5,9.637,14.846,10.193,10.128,10.485,10.095,10.177,10.272
SBN00000045,PCB0002,9.494,10.343,10.341,9.369,10.296,10.389,10.185,9.923,9.573,10.581
SBN00000046,PCB0001,9.287,9.727,9.921,13.876,10.141,10.68,10.05,9.503,10.487,10.621
SBN00000047,PCB0001,9.828,9.661,9.182,9.988,10.923,9.214,9.344,9.66,9.776,10.426
SBN00000048,PCB0002,9.426,9.956,9.36,14.188,9.612,10.169,10.81,10.206,11.072,10.036
SBN00000049,PCB0002,9.416,9.941,9.393,10.236,9.573,9.753,9.863,10.119,9.566,10.421
SBN00000050,PCB0002,10.368,10.407,8.253,10.193,11.149,10.627,10.575,9.841,10.058,9.642
SBN00000051,PCB0003,9.249,8.981,10.23,9.611,9.951,9.519,10.003,10.655,9.64,9.493
SBN00000052,PCB0002,10.243,9.336,10.856,9.834,9.874,11.025,9.93,10.389,10.154,10.033
SBN00000053,PCB0002,10.774,9.767,8.588,9.092,9.341,10.43,10.353,9.619,9.76,9.952
SBN00000054,PCB0001,9.793,10.707,9.395,10.7,9.191,9.095,9.967,10.05,9.556,10.053
SBN00000055,PCB0003,9.228,9.807,9.027,8.669,9.571,10.181,10.211,9.529,11.194,10.852
SBN00000056,PCB0002,10.29,10.725,10.489,9.803,10.407,9.532,9.778,9.934,10.108,9.741
SBN00000057,PCB0002,10.229,9.317,8.762,10.477,9.606,9.468,9.962,9.759,10.031,9.81
SBN00000058,PCB0003,10.472,10.371,9.673,9.748,9.703,10.031,9.828,9.947,10.507,9.582
SBN00000059,PCB0002,9.96,10.011,10.299,9.364,10.263,9.668,9.401,10.096,10.591,10.626
SBN00000060,PCB0001,10.156,9.873,10.074,10.113,10.101,10.599,9.388,10.317,10.658,10.469
SBN00000061,PCB0001,9.343,10.486,9.61,9.821,10.256,9.807,10.184,9.672,10.279,9.86
SBN00000062,PCB0003,10.135,10.972,10.152,10.617,10.408,10.296,10.192,10.167,8.932,9.585
SBN00000063,PCB0003,10.088,8.862,10.084,9.953,10.967,9.769,9.773,10.194,9.989,9.531
SBN00000064,PCB0003,9.853,9.606,10.282,10.545,9.609,9.743,9.448,10.037,10.311,10.463
SBN00000065,PCB0003,9.673,10.405,9.334,10.397,10.193,9.704,10.529,9.731,9.481,9.886
SBN00000066,PCB0001,10.589,10.114,9.245,9.166,9.965,10.153,10.777,9.876,10.762,9.7
SBN00000067,PCB0002,10.484,10.349,10.417,9.265,9.548,9.799,10.683,10.723,9.918,9.371
SBN00000068,PCB0003,10.068,10.593,9.975,9.823,10.073,9.945,9.943,11.089,9.867,9.943
SBN00000069,PCB0002,8.386,9.519,10.478,14.026,10.771,9.881,10.442,10.378,9.942,10.277
SBN00000070,PCB0001,10.141,9.742,9.882,10.041,9.423,10.237,9.997,10.87,10.331,10.045
SBN00000071,PCB0002,9.732,10.056,9.251,10.263,9.786,10.052,9.619,9.378,9.866,10.477
SBN00000072,PCB0001,9.8,9.404,10.455,10.053,9.611,9.677,9.575,10.159,10.962,10.19
SBN00000073,PCB0003,9.837,9.571,11.48,9.705,10.254,9.428,10.407,9.507,10.109,9.045
SBN00000074,PCB0001,9.83,9.843,9.643,9.988,9.327,9.578,10.217,9.892,10.293,9.747
SBN00000075,PCB0003,9.965,9.503,9.574,10.085,9.62,10.646,10.489,9.967,9.312,9.735
SBN00000076,PCB0001,9.948,9.967,10.163,10.555,10.148,10.724,9.269,9.714,10.228,9.639
SBN00000077,PCB0001,9.59,10.026,10.037,9.41,9.057,10.208,9.709,10.185,11.145,9.975
SBN00000078,PCB0001,9.146,10.687,9.896,10.33,9.849,10.382,10.258,10.554,9.37,10.636
SBN00000079,PCB0001,9.995,9.742,9.889,10.148,9.34,9.179,10.069,9.463,10.806,10.03
SBN00000080,PCB0003,10.476,9.214,9.611,10.004,8.816,10.105,10.137,10.031,10.79,11.055
SBN00000081,PCB0003,10.419,10.077,9.263,9.978,9.316,10.385,9.831,10.952,9.33,9.239
SBN00000082,PCB0003,9.6,9.301,10.214,9.632,10.216,10.206,10.437,9.486,10.463,10.476
SBN00000083,PCB0001,10.498,10.788,9.364,15.137,9.607,10.323,10.449,10.378,9.884,9.68
SBN00000084,PCB0001,9.693,10.146,10.058,9.793,9.85,9.758,9.128,9.932,9.833,9.27
SBN00000085,PCB0003,10.06,9.607,11.342,10.418,8.985,10.597,9.584,10.021,9.647,9.681
SBN00000086,PCB0001,10.145,9.77,10.396,9.864,10.176,10.481,9.824,10.03,9.265,10.042
SBN00000087,PCB0003,9.72,9.293,9.991,10.28,9.251,9.35,9.861,9.998,10.2,10.098
SBN00000088,PCB0001,10.107,9.81,9.328,10.561,10.062,10.838,10.056,10.616,10.247,8.79
SBN00000089,PCB0001,9.598,9.588,10.486,10.047,9.505,9.427,9.529,9.41,9.609,9.569
SBN00000090,PCB0002,9.828,9.812,10.284,9.672,10.428,9.63,9.5,9.531,10.571,10.123
SBN00000091,PCB0002,9.418,10.549,9.512,15.002,9.794,9.969,9.665,9.683,10.147,9.256
SBN00000092,PCB0003,10.383,9.486,10.674,9.527,10.073,10.71,10.107,9.748,9.388,10.131
SBN00000093,PCB0001,9.21,9.224,9.804,10.132,9.377,9.673,9.909,9.495,10.406,10.074
SBN00000094,PCB0003,9.528,11.507,10.406,9.368,9.814,10.03,9.484,9.695,9.963,10.415
SBN00000095,PCB0002,10.636,10.475,9.773,10.131,9.859,9.085,10.594,10.667,9.489,9.685
SBN00000096,PCB0003,9.689,9.104,9.477,9.982,10.101,9.833,9.51,9.848,10.629,11.039
SBN00000097,PCB0001,10.668,9.547,9.112,14.724,10.765,10.641,10.209,9.644,9.591,10.631
SBN00000098,PCB0003,10.154,9.763,9.581,9.335,9.84,9.82,9.491,9.77,9.756,9.428
SBN00000099,PCB0001,10.206,9.72,10.39,9.806,10.191,9.508,10.313,9.671,8.956,10.107
